url,comment,year,photographer,number,road,suburb,lat,lon
http://purl.slwa.wa.gov.au/slwa_b3799951_17,"312602PD: 46 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",46,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_18,"312603PD: The Merlin Hotel from Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_19,"312604PD: The Merlin Hotel from Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_20,"313759PD: Australian Bureau of Statistics Western Australian Office, 30 Terrace Rd, Perth, March 1985",1984,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799951_21,"313760PD: Australian Bureau of Statistics Western Australian Office, 30 Terrace Rd, Perth, March 1985",1984,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799951_22,"313761PD: Merlin Hotel car park, at the side of 30 Terrace Rd (building housing ABS W.A. Office), March 1985",1984,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799951_23,"314614PD: View across a vacant block in Terrace Rd, Perth. In the background L-R: Eastpoint, Langley Plaza Hotel and the Sheraton Hotel all in Adelaide Tce, August 1987",1984,"Smith, Betty, photographer.",,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_24,"314624PD: Causeway Gardens on the Terrace Rd side (the building fronts Adelaide Tce), Perth, August 1987",1984,"Smith, Betty, photographer.",,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_25,"315753PD: Causeway Gardens on the Terrace Rd side from across Langley Park (the building fronts Adelaide Tce), Perth, August 1987",1984,"Smith, Betty, photographer.",,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_26,"316275PD: New Federal and Family Courts being built corner Terrace Rd and Victoria Ave, Perth, October 1991",1984,"Smith, Betty, photographer.",,VICTORIA AVENUE,PERTH,-31.957116,115.865318
http://purl.slwa.wa.gov.au/slwa_b3799951_27,"316276PD: View of the Durack Centre from Terrace Rd, Perth, October 1991",1984,"Smith, Betty, photographer.",,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799952_1,"312585PD: Perth Concert Hall, June 1984",1973,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799952_2,"319116PD: Perth Concert Hall, 1973",1973,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799952_3,"319117PD: Perth Concert Hall, 1973",1973,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799953_1,"315567PD: Perth Busport under construction, 1991",1991,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799953_2,"315745PD: Perth Busport, April 1992",1991,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799953_3,"316270PD: Perth Busport almost complete, October 1991",1991,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799953_4,"316407PD: Gardens and fountain on top of the Perth Busport, April 1992",1991,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799953_5,"316408PD: Gardens and surrounds on top of the Perth Busport, April 1992",1991,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799953_6,"316409PD: Water feature and garden on top of the Perth Busport, April 1992",1991,"Smith, Betty, photographer.",,GARDEN STREET,SOUTH PERTH,-31.977405,115.863721
http://purl.slwa.wa.gov.au/slwa_b3799953_7,"316410PD: Gardens on top of the Perth Busport, April 1992",1991,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799953_8,"316413PD: Gardens on top of Perth Busport with Westralia Square in the background and Central Park under construction, April 1992",1991,"Smith, Betty, photographer.",,ST GEORGES TERRACE,PERTH,-31.953700,115.855680
http://purl.slwa.wa.gov.au/slwa_b3799953_9,"316414PD:  Gardens on top of Perth Busport with Westralia Square in the background and Central Park under construction, April 1992",1991,"Smith, Betty, photographer.",,ST GEORGES TERRACE,PERTH,-31.953700,115.855680
http://purl.slwa.wa.gov.au/slwa_b3799953_10,"316416PD: Perth Busport, April 1992",1991,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799954_1,"311506PD: Mill Street sewerage pumping station and public toilets (Perth No. 1 station), November 1982",1982,"Smith, Betty, photographer.",,MILL STREET,PERTH,-31.954638,115.853060
